last_changed,binary_sensor.bayesianbinary,binary_sensor.bedroom_motion_sensor,binary_sensor.blink_armed_status,binary_sensor.blink_blink_camera_percy_motion_enabled,binary_sensor.hall_motion_sensor,binary_sensor.in_bed_bayesian,binary_sensor.living_room_motion_sensor,binary_sensor.living_room_nest_protect_online,binary_sensor.motion_at_home,binary_sensor.workday_sensor
2017-07-11 10:28:17.460144,,,,,,,,,,True
2017-07-11 10:28:18.898022,,,,False,,,,,,
2017-07-11 10:28:18.951186,,,,,,,,True,,
2017-07-11 10:28:19.047789,,,False,,,,,,,
2017-07-11 12:00:03.023620,,,,True,,,,,,
2017-07-11 12:00:03.620105,,,True,,,,,,,
2017-07-11 15:39:28.026468,,,,False,,,,,,
2017-07-11 15:39:28.518692,,,False,,,,,,,
2017-07-11 23:00:27.800979,,,,,,,,,,False
2017-07-12 04:14:54.181737,,,,,,,,,,False
2017-07-12 04:14:58.039146,,,,,,,,True,,
2017-07-12 04:15:02.032506,,,,False,,,,,,
2017-07-12 04:15:03.485569,,,False,,,,,,,
2017-07-12 05:49:16.757617,,,,True,,,,,,
2017-07-12 05:49:17.173376,,,True,,,,,,,
2017-07-12 05:56:28.814346,,,,False,,,,,,
2017-07-12 05:56:29.285384,,,False,,,,,,,
2017-07-12 06:00:36.750448,,,,True,,,,,,
2017-07-12 06:00:37.265001,,,True,,,,,,,
2017-07-12 15:13:53.791764,,,,False,,,,,,
2017-07-12 15:13:54.286222,,,False,,,,,,,
2017-07-12 15:55:09.804178,,,,True,,,,,,
2017-07-12 15:55:10.313581,,,True,,,,,,,
2017-07-12 20:26:27.774413,,,,False,,,,,,
2017-07-12 20:26:28.266695,,,False,,,,,,,
2017-07-12 23:00:05.565992,,,,,,,,,,True
2017-07-13 08:54:45.946402,,,,True,,,,,,
2017-07-13 08:54:46.433804,,,True,,,,,,,
2017-07-15 00:00:05.566608,,,,,,,,,,False
2017-07-15 15:38:38.792486,,,,False,,,,,,
2017-07-15 15:38:39.290041,,,False,,,,,,,
2017-07-15 17:20:37.804704,,,,True,,,,,,
2017-07-15 17:20:38.274909,,,True,,,,,,,
2017-07-15 19:03:32.791854,,,,False,,,,,,
2017-07-15 19:03:33.323217,,,False,,,,,,,
2017-07-16 08:28:49.763515,,,,True,,,,,,
2017-07-16 08:28:50.223022,,,True,,,,,,,
2017-07-16 11:50:04.784458,,,,False,,,,,,
2017-07-16 11:50:05.313364,,,False,,,,,,,
2017-07-16 12:02:26.834097,,,,True,,,,,,
2017-07-16 12:02:27.316928,,,True,,,,,,,
2017-07-16 15:44:55.776580,,,,False,,,,,,
2017-07-16 15:44:56.227256,,,False,,,,,,,
2017-07-16 16:59:01.871549,,,,True,,,,,,
